link,id_option,nome_option
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59560,28819,PLP 149/19 - Votação da Subemenda Substitutiva ao PLP 149/19 (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59560,28813,"PLP 149/19 - REQ para votação em globo da admissibilidade dos destaques simples - Bloco PL, PP e outros"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59560,28811,PLP 149/19 - Votação em globo da admissibilidade dos destaques simples
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59565,28889,REQ de encerramento de discussão e encaminhamento da votação (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59565,28859,requerimento de retirada de pauta (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28918,MPV 905/19 - DTQ 107 - NOVO (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28917,MPV 905/19 - DTQ 105 - PSL (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28911,MPV 905/19 - DTQ 98 - PT (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28910,Votação da Emenda Aglutinativa oferecida à MPV 905/19 (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28907,MPV 905/19 - DTQ 94 - PP
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28906,Consulta Votação Parcelada (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28905,Parecer da Comissão Mista pelo NÃO atendimento dos pressupostos constitucionais (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28904,Parecer da Comissão Mista pelo atendimento dos pressupostos constitucionais (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28898,REQ de retirada de pauta (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570,28930,MPV 905/19 - DTQ 102 - PSOL (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570,28929,MPV 905/19 - DTQ 39 - PP (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570,28928,MPV 905/19 - DTQ 104 - PODEMOS
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570,28926,MPV 905/19 - DTQ 88 - PSB (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570,28925,MPV 905/19 - DTQ 108 - REPUBLICANOS (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570,28924,MPV 905/19 - DTQ 103 - PCdoB (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570,28923,MPV 905/19 - DTQ 100 - PDT (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59571,28984,PL 873/2020 - Votação da Subemenda Substitutiva Global
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59571,28983,PL 873/2020 - DTQ 19 - PSOL
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59571,28981,PL 873/2020 - DTQ 17 - PT
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59571,28979,PL 873/2020 - DTQ 15 - PT (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59571,28977,PL 873/2020 - DTQ 13 - PT
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59571,28954,PL 873/2020 - DTQ 7 - PSB
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59571,28953,PL 873/2020 - DTQ 6 - PSB
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59573,29020,PL 1282/2020 DTQ 10 (PDT) DVS
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59573,29018,PL 1282/2020 DTQ 6 (PT) Emenda 42
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59573,29017,PL 1282/2020 DTQ 8 (PT) Emenda 48
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59573,29016,PL 1282/2020 - DTQ 5 (PSB) Emenda 3
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59573,29015,PL 1282/2020 - DTQ 2 (PT) Emenda 14
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59573,29011,PL 1282/2020 - Subemenda Substitutiva
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59573,29009,REQ 633/2020
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59577,29059,PL 1079/2020 - Verificação
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59577,29055,MPV 906/2019 - Sub
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59577,29054,MPV 906/2019 - Parecer
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59577,29025,PL 1389/2020 -
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59577,29024,PL 1079/2020 -
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29081,"MPV 907/19 - DTQ 13 - NOVO - Votação em separado do artigo 33 do PLV apresentado à MP 907/19, com vistas à sua supressão. (161, I)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29080,"MPV 907/19 - DTQ 12 - PSOL - Votação em separado do inciso I do §2º do art. 35, do PLV apresentado à MPV nº 907 de 2019, para fins de supressão."
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29077,MPV 907/19 - Votação do Parecer da Comissão Mista pelo atendimento dos pressupostos constitucionais.
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29076,MPV 907/19 - Votação do PLV 1/2020
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29074,MPV 907/19 - DTQ 8 - PT - Votação em separado do art. 3º do PLV apresentado à MPV 907/2019. (art. 161)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29073,"MPV 907/19 - DTQ 9 - PDT - Votação da Emenda 1 (art. 161, II)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29072,"MPV 907/19 - DTQ 7 - PT - Votação da Emenda de Plenário nº 8 (art. 161, II)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29071,"MPV 907/19 - DTQ 6 - PT - Votação da Emenda de Plenário de nº 13 (art. 161, II)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29069,"MPV 907/19 - DTQ 3 - PCdoB - Votação do Art. 31, do PLV apresentado à MP 907/19. (com vistas a sua supressão) (161, I) (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29068,"MPV 907/19 - DTQ 2 - PP - Votação da Emenda de Comissão nº 43, apresentada à MPV 907, de 2019."
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29064,MPV 907/19 - Votação da Subemenda Substitutiva ao PLV 1/2020
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29061,"MPV 907/19 - DTQ 11 - PSL - Votação da Emenda de Plenário nº 17 (art. 161, II) (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584,29146,"PL 1079/2020 - DTQ 8 - PT - Destaque da Emenda n. 20, apresentada ao PL 1.079/2020 (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584,29144,PL 1079/2020 - DTQ 11 - PSOL - Destaque para votação em separado da Emenda de Plenário número 21 ao PL 1079 de 2020
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584,29143,"PL 1079/2020 - DTQ 3 - PT - Destaque da expressão ""Fica o Poder Executivo autorizado a suspender por 6 meses a cobrança das parcelas de amortização das dívidas provenientes do programa FIES no período de restrição à locomoção e ou emergência e ou calamidade provocados pela pandemia Covid-19"" contida na Emenda n. 5, apresentada ao PL 1.079/2020 (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584,29142,"PL 1079/2020 - DTQ 5 - PSB - Destaque para votação da Emenda nº 13, apresentada ao PL 1079/2020 (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584,29141,"PL 1079/2020 - DTQ 4 - PT - Destaque da Emenda n. 16, apresentada ao PL 1.079/2020"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584,29140,"PL 1079/2020 - DTQ 12 - PCdoB - Destaque do Art. 2 contido da Emenda 22 apresentada ao PL 1079/2020, para ser incluído onde couber"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584,29113,PL 1409/2020 - Votação do Substitutivo ao PL 1409/2020
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29217,"PL 1304/2020 - DTQ 9 - PSB - Emenda de Plenário nº 3 (art. 161, II)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29216,"PL 1304/20 - DTQ 8 - PCdoB - Emenda de plenário n. 7, com vistas a sua aprovação. (161, II)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29215,"PL 1304/20 - DTQ 6 - PSOL - Destaque para votação em separado do §5°, do inciso VI, do Art. 2° da Lei nº 10.304, de 5 de novembro de 2001, constante do Art. 2° do substitutivo apresentado ao PL n° 1.304 de 2020, para sua supressão."
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29208,"MPV 915/19 - Requerimento de Retirada de Pauta, do PSOL (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29181,"PL 1304/2020 - DTQ 2 - do PT - Requer, nos termos do art. 161, II, e § 2º, RICD, destaque para votação da Emenda de plenário de nº 4"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29180,"PL 1304/2020 - DTQ 1 - do PT - Requer, nos termos do art. 161, II, e § 2º, RICD, destaque para votação da emenda de plenário de nº 5. (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29179,"PL 1304/2020 - DTQ 3 - do PT - Destaque para votação em separado do art. 1º do PLV apresentado ao PL 1304/2020, com vista à sua supressão. (art. 161, I) (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29169,MPV 915/2019 - Votação do Parecer da Comissão Mista pelo Atendimento dos Pressupostos Constitucionais
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29166,MPV 915/2019 - Votação do Projeto de Lei de Conversão à MP 915/19
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29162,PL 1304/2020 - Votação do Substitutivo ao PL 1304/2020
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29150,PL 1409/2020 - Votação da Subemenda Substitutiva ao PL 1409/2020
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29281,PEC 10/2020 - Votação emenda de redação nº 1 da Comissão Especial (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29279,PL1075/20 - Votação de requerimento de urgência nº 562/20 para apreciação do PL 1075/20
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29278,"PEC 10/2020 - DTQ 14 - NOVO - Destaque para a votação em separado do inciso II do Artigo 8º do Substitutivo do Senado da PEC 10/2020, com vistas à sua inclusão no texto. (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29275,"PEC 10/2020 - DTQ 8 - PT - Destaque do Artigo 4º da PEC 10/2020 (fase 2), para inclusão no texto do Substitutivo, onde couber. (161, IV) (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29274,"PEC 10/2020 - DTQ 10 - PSB - Destaque para a votação em separado do parágrafo único do art.3º da PEC 10/20, com vistas a sua supressão. (161,I (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29273,"PEC 10/2020 - Votação, em primeiro turno, o artigo 4º e as alíneas ""a"" a ""f"" constantes do inciso II do art. 8º, com parecer pela rejeição, ressalvados os destaques (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29266,"PEC 10/2020 - DTQ 7 - PT - destaque, com vistas à rejeição, da expressão ""acima do mínimo obrigatório estabelecido em lei ou no estatuto social vigente na data de entrada em vigor desta Emenda Constitucional"", constante do inciso I do Artigo 9º da PEC 10/2020 (fase 2). (161, I) (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29260,"PEC 10/2020 - DTQ 5 - PT - destaque, com vistas à rejeição, da expressão ""secundários"", constante do inciso I do Artigo 8º da PEC 10/2020 (fase 2). (161, I) (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29259,"PEC 10/2020 - DTQ 4 - CIDADANIA - DVS da expressão ""desde que, no momento da compra, tenham classificação em categoria de risco de crédito no mercado local equivalente a BB- ou superior, conferida por pelo menos uma das três maiores agências internacionais de classificação de risco,"", constante do Inciso II do Art. 8º da PEC 10/2020. (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29253,PEC 10/2020 - Requerimento de Adiamento de Discussão - 2 sessões - PT (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29251,"PEC 10/2020 - DTQ 2 - PSL - Destaque para votação em separado do art. 11 da PEC 10/2020, para suprimi-lo. (161, I) (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29240,"PEC 10/2020 - DTQ 1 - PSOL - Destaque para votação em separado do art. 8º da PEC nº 10 de 2020, para fins de supressão(161,I) (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29237,"PEC 10/2020 - Votação em Primeiro Turno dos art. 1º, 2º, 3º, 5º, 6º, 7º , 8º e seus incisos I e II, (exceto as alíneas ""a"" a ""f"" constantes do inciso II do art. 8º), 9º, 10, 11, 12, com parecer pela aprovação, ressalvados os destaques. (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29233,PEC 10/2020 - Votação do Parecer de Admissibilidade da PEC 10/20
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594,29358,"PLP 039/20 - DTQ 18 - PSOL- destaque de preferência para votação da Emenda de Plenário n. 31, em detrimento do texto original do PLP 39/2020 (ou de texto que o substitua). (161, IV) (nominal)"
